category,samples,base_accuracy,lora_accuracy,change_points
adjacency,111,49.549549549549546,57.65765765765766,8.108108108108112
area,133,42.10526315789473,72.93233082706767,30.82706766917294
count,117,35.8974358974359,83.76068376068376,47.863247863247864
presence,118,48.30508474576271,79.66101694915254,31.355932203389827
relative pos,21,38.095238095238095,52.38095238095239,14.285714285714292
