loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.6151,,0.0,0.0002666666666666667,1,,,,,
4.6614,103.73298645019531,1.7699115044247788e-06,0.0026666666666666666,10,,,,,
4.2471,81.86737060546875,6.194690265486726e-06,0.005333333333333333,20,,,,,
2.7066,28.998735427856445,1.0619469026548673e-05,0.008,30,,,,,
1.6609,24.074228286743164,1.504424778761062e-05,0.010666666666666666,40,,,,,
0.6703,4.20212984085083,1.946902654867257e-05,0.013333333333333334,50,,,,,
0.398,3.2243521213531494,2.3893805309734516e-05,0.016,60,,,,,
0.3954,5.8285322189331055,2.831858407079646e-05,0.018666666666666668,70,,,,,
0.3405,2.712585687637329,3.274336283185841e-05,0.021333333333333333,80,,,,,
0.3442,1.9253342151641846,3.716814159292036e-05,0.024,90,,,,,
0.3697,2.8563265800476074,4.15929203539823e-05,0.02666666666666667,100,,,,,
0.3054,4.1324076652526855,4.601769911504425e-05,0.029333333333333333,110,,,,,
0.3265,4.146589756011963,4.999999067340477e-05,0.032,120,,,,,
0.29,1.9681625366210938,4.999887149039656e-05,0.034666666666666665,130,,,,,
0.3162,4.096991062164307,4.9995887084023843e-05,0.037333333333333336,140,,,,,
0.2664,2.0583267211914062,4.999103767696002e-05,0.04,150,,,,,
0.3545,7.038220405578613,4.998432363103053e-05,0.042666666666666665,160,,,,,
0.2964,2.530200958251953,4.9975745447185806e-05,0.04533333333333334,170,,,,,
0.2952,2.3708655834198,4.996530376546389e-05,0.048,180,,,,,
0.2493,1.5592665672302246,4.99529993649427e-05,0.050666666666666665,190,,,,,
0.3367,4.986720561981201,4.993883316368189e-05,0.05333333333333334,200,,,,,
0.271,1.5310990810394287,4.992280621865435e-05,0.056,210,,,,,
0.2695,3.796308755874634,4.9904919725667365e-05,0.058666666666666666,220,,,,,
0.3082,4.550591468811035,4.988517501927335e-05,0.06133333333333333,230,,,,,
0.2821,3.209799289703369,4.9863573572670317e-05,0.064,240,,,,,
0.2621,2.2006473541259766,4.9840116997591944e-05,0.06666666666666667,250,,,,,
0.2356,2.479133367538452,4.9814807044187305e-05,0.06933333333333333,260,,,,,
0.2572,3.9028875827789307,4.9787645600890296e-05,0.072,270,,,,,
0.2558,2.7356185913085938,4.975863469427875e-05,0.07466666666666667,280,,,,,
0.275,4.308112144470215,4.972777648892321e-05,0.07733333333333334,290,,,,,
0.2962,3.6122682094573975,4.969507328722543e-05,0.08,300,,,,,
0.1872,2.8504528999328613,4.9660527529246586e-05,0.08266666666666667,310,,,,,
0.2707,4.122720718383789,4.9624141792525236e-05,0.08533333333333333,320,,,,,
0.2272,2.3769304752349854,4.9585918791884975e-05,0.088,330,,,,,
0.2344,3.294463872909546,4.954586137923189e-05,0.09066666666666667,340,,,,,
0.2799,3.289665460586548,4.950397254334179e-05,0.09333333333333334,350,,,,,
0.2416,3.5110201835632324,4.9460255409637156e-05,0.096,360,,,,,
0.2669,3.795135498046875,4.9414713239954e-05,0.09866666666666667,370,,,,,
0.2343,3.139453172683716,4.936734943229848e-05,0.10133333333333333,380,,,,,
0.2042,3.0096685886383057,4.9318167520593335e-05,0.104,390,,,,,
0.258,4.220950126647949,4.926717117441424e-05,0.10666666666666667,400,,,,,
0.2349,3.5882787704467773,4.9214364198716026e-05,0.10933333333333334,410,,,,,
0.2301,2.2651634216308594,4.915975053354872e-05,0.112,420,,,,,
0.2322,4.385311603546143,4.910333425376366e-05,0.11466666666666667,430,,,,,
0.264,3.9650723934173584,4.904511956870936e-05,0.11733333333333333,440,,,,,
0.1984,2.5985960960388184,4.898511082191754e-05,0.12,450,,,,,
0.2574,4.362128734588623,4.892331249077896e-05,0.12266666666666666,460,,,,,
0.2104,2.9293389320373535,4.8859729186209414e-05,0.12533333333333332,470,,,,,
0.2453,3.2010650634765625,4.879436565230565e-05,0.128,480,,,,,
0.2337,3.274437189102173,4.872722676599144e-05,0.13066666666666665,490,,,,,
0.17,5.160063743591309,4.865831753665371e-05,0.13333333333333333,500,,,,,
0.2308,4.039539337158203,4.85876431057687e-05,0.136,510,,,,,
0.2413,4.856194972991943,4.851520874651846e-05,0.13866666666666666,520,,,,,
0.1949,4.373350620269775,4.84410198633973e-05,0.14133333333333334,530,,,,,
0.2603,1.92460036277771,4.8365081991808635e-05,0.144,540,,,,,
0.237,5.571956157684326,4.828740079765192e-05,0.14666666666666667,550,,,,,
0.2127,2.9443767070770264,4.82079820768999e-05,0.14933333333333335,560,,,,,
0.2412,3.044184923171997,4.812683175516622e-05,0.152,570,,,,,
0.2676,5.206748008728027,4.804395588726324e-05,0.15466666666666667,580,,,,,
0.2301,2.6423099040985107,4.795936065675028e-05,0.15733333333333333,590,,,,,
0.2412,2.713876485824585,4.787305237547229e-05,0.16,600,,,,,
0.2138,2.350304365158081,4.778503748308888e-05,0.16266666666666665,610,,,,,
0.261,5.090793132781982,4.769532254659382e-05,0.16533333333333333,620,,,,,
0.2021,1.6722909212112427,4.76039142598251e-05,0.168,630,,,,,
0.2606,2.7301688194274902,4.751081944296548e-05,0.17066666666666666,640,,,,,
0.1678,2.2569644451141357,4.741604504203361e-05,0.17333333333333334,650,,,,,
0.213,2.1585209369659424,4.731959812836576e-05,0.176,660,,,,,
0.2337,3.8481197357177734,4.722148589808824e-05,0.17866666666666667,670,,,,,
0.2515,5.638220310211182,4.712171567158048e-05,0.18133333333333335,680,,,,,
0.1789,2.2983622550964355,4.7020294892928795e-05,0.184,690,,,,,
0.2225,3.349038600921631,4.691723112937102e-05,0.18666666666666668,700,,,,,
0.2404,2.1245038509368896,4.681253207073187e-05,0.18933333333333333,710,,,,,
0.1995,2.988731861114502,4.670620552884919e-05,0.192,720,,,,,
0.2035,4.406506061553955,4.65982594369911e-05,0.19466666666666665,730,,,,,
0.28,5.800402641296387,4.648870184926407e-05,0.19733333333333333,740,,,,,
0.1606,2.4124202728271484,4.637754094001199e-05,0.2,750,,,,,
0.1907,2.0748074054718018,4.626478500320625e-05,0.20266666666666666,760,,,,,
0.2535,2.7049338817596436,4.6150442451826937e-05,0.20533333333333334,770,,,,,
0.2514,2.8303287029266357,4.603452181723509e-05,0.208,780,,,,,
0.1593,3.738676071166992,4.591703174853619e-05,0.21066666666666667,790,,,,,
0.2091,5.4286789894104,4.5797981011934774e-05,0.21333333333333335,800,,,,,
0.2481,2.914203643798828,4.5677378490080447e-05,0.216,810,,,,,
0.1606,4.881196022033691,4.555523318140505e-05,0.21866666666666668,820,,,,,
0.1662,1.7750340700149536,4.543155419945133e-05,0.22133333333333333,830,,,,,
0.2125,3.8486969470977783,4.5306350772192904e-05,0.224,840,,,,,
0.2319,5.692775249481201,4.5179632241345787e-05,0.22666666666666666,850,,,,,
0.2543,6.647706985473633,4.505140806167133e-05,0.22933333333333333,860,,,,,
0.2229,2.173677444458008,4.4921687800270845e-05,0.232,870,,,,,
0.2088,2.378872871398926,4.479048113587172e-05,0.23466666666666666,880,,,,,
0.1903,2.806187391281128,4.465779785810531e-05,0.23733333333333334,890,,,,,
0.1965,2.9921441078186035,4.452364786677648e-05,0.24,900,,,,,
0.1728,3.1350786685943604,4.438804117112499e-05,0.24266666666666667,910,,,,,
0.1846,3.660722017288208,4.425098788907864e-05,0.24533333333333332,920,,,,,
0.1682,3.2437453269958496,4.411249824649839e-05,0.248,930,,,,,
0.2015,6.654195308685303,4.397258257641535e-05,0.25066666666666665,940,,,,,
0.1773,4.349475860595703,4.3831251318259844e-05,0.25333333333333335,950,,,,,
0.2419,7.628119468688965,4.368851501708249e-05,0.256,960,,,,,
0.1957,5.407339572906494,4.354438432276735e-05,0.25866666666666666,970,,,,,
0.2636,2.669938802719116,4.339886998923744e-05,0.2613333333333333,980,,,,,
0.2017,1.7624332904815674,4.325198287365221e-05,0.264,990,,,,,
0.1962,3.705425262451172,4.31037339355976e-05,0.26666666666666666,1000,,,,,
0.1911,1.8831270933151245,4.295413423626824e-05,0.2693333333333333,1010,,,,,
0.2077,5.077755928039551,4.280319493764216e-05,0.272,1020,,,,,
0.2567,3.2410404682159424,4.265092730164798e-05,0.27466666666666667,1030,,,,,
0.2011,2.454590082168579,4.249734268932465e-05,0.2773333333333333,1040,,,,,
0.133,2.65317440032959,4.2342452559973724e-05,0.28,1050,,,,,
0.1981,1.8607087135314941,4.218626847030441e-05,0.2826666666666667,1060,,,,,
0.2195,4.224654674530029,4.2028802073571275e-05,0.2853333333333333,1070,,,,,
0.1787,2.641266107559204,4.187006511870475e-05,0.288,1080,,,,,
0.1888,2.8649260997772217,4.1710069449434565e-05,0.2906666666666667,1090,,,,,
0.1743,4.11813497543335,4.1548827003405985e-05,0.29333333333333333,1100,,,,,
0.1813,4.986839294433594,4.1386349811289215e-05,0.296,1110,,,,,
0.2112,4.540688991546631,4.122264999588167e-05,0.2986666666666667,1120,,,,,
0.1776,3.791541814804077,4.105773977120351e-05,0.30133333333333334,1130,,,,,
0.2303,2.0466911792755127,4.089163144158632e-05,0.304,1140,,,,,
0.164,3.143470287322998,4.0724337400755066e-05,0.30666666666666664,1150,,,,,
0.1578,1.9117588996887207,4.055587013090333e-05,0.30933333333333335,1160,,,,,
0.1737,8.555386543273926,4.0386242201762047e-05,0.312,1170,,,,,
0.1937,2.1236114501953125,4.021546626966159e-05,0.31466666666666665,1180,,,,,
0.1509,2.9723453521728516,4.004355507658748e-05,0.31733333333333336,1190,,,,,
0.1891,2.0079805850982666,3.987052144922969e-05,0.32,1200,,,,,
0.2281,3.792020082473755,3.969637829802557e-05,0.32266666666666666,1210,,,,,
0.1873,3.6292502880096436,3.9521138616196615e-05,0.3253333333333333,1220,,,,,
0.218,2.565202236175537,3.9344815478779015e-05,0.328,1230,,,,,
0.2254,3.493532180786133,3.916742204164803e-05,0.33066666666666666,1240,,,,,
0.2247,1.9759204387664795,3.898897154053649e-05,0.3333333333333333,1250,,,,,
0.1639,4.277865886688232,3.8809477290047173e-05,0.336,1260,,,,,
0.163,3.668862819671631,3.862895268265942e-05,0.33866666666666667,1270,,,,,
0.1788,3.554081678390503,3.8447411187729874e-05,0.3413333333333333,1280,,,,,
0.2038,3.648547887802124,3.8264866350487475e-05,0.344,1290,,,,,
0.1654,5.764418601989746,3.808133179102287e-05,0.3466666666666667,1300,,,,,
0.1798,2.2694754600524902,3.789682120327213e-05,0.34933333333333333,1310,,,,,
0.1573,3.2394161224365234,3.771134835399509e-05,0.352,1320,,,,,
0.2085,2.691157579421997,3.752492708174808e-05,0.3546666666666667,1330,,,,,
0.1315,2.197777271270752,3.7337571295851506e-05,0.35733333333333334,1340,,,,,
0.2131,16.51238441467285,3.714929497535194e-05,0.36,1350,,,,,
0.1763,3.198593854904175,3.696011216797919e-05,0.3626666666666667,1360,,,,,
0.1675,5.3652496337890625,3.677003698909812e-05,0.36533333333333334,1370,,,,,
0.1543,5.550501823425293,3.65790836206555e-05,0.368,1380,,,,,
0.1876,2.4860527515411377,3.6387266310121845e-05,0.37066666666666664,1390,,,,,
0.211,5.174620628356934,3.619459936942837e-05,0.37333333333333335,1400,,,,,
0.2113,2.209390640258789,3.6001097173899146e-05,0.376,1410,,,,,
0.1987,6.896620273590088,3.580677416117856e-05,0.37866666666666665,1420,,,,,
0.1796,4.076061248779297,3.561164483015404e-05,0.38133333333333336,1430,,,,,
0.1948,4.387594223022461,3.5415723739874264e-05,0.384,1440,,,,,
0.2014,2.6646125316619873,3.521902550846292e-05,0.38666666666666666,1450,,,,,
0.2586,2.9867255687713623,3.502156481202796e-05,0.3893333333333333,1460,,,,,
0.23,2.134819269180298,3.482335638356664e-05,0.392,1470,,,,,
0.1737,2.3132104873657227,3.462441501186619e-05,0.39466666666666667,1480,,,,,
0.1863,2.5943002700805664,3.442475554040044e-05,0.3973333333333333,1490,,,,,
0.1771,2.4149253368377686,3.422439286622229e-05,0.4,1500,,,,,
0.2038,3.3050079345703125,3.402334193885223e-05,0.4026666666666667,1510,,,,,
0.2001,1.4982619285583496,3.382161775916287e-05,0.4053333333333333,1520,,,,,
0.2248,3.279592275619507,3.3619235378259775e-05,0.408,1530,,,,,
0.2207,3.3770875930786133,3.341620989635838e-05,0.4106666666666667,1540,,,,,
0.1676,3.6738085746765137,3.3212556461657365e-05,0.41333333333333333,1550,,,,,
0.1903,5.539855480194092,3.300829026920844e-05,0.416,1560,,,,,
0.1574,2.951977014541626,3.280342655978258e-05,0.4186666666666667,1570,,,,,
0.2279,3.4119346141815186,3.259798061873285e-05,0.42133333333333334,1580,,,,,
0.2414,3.4459946155548096,3.239196777485398e-05,0.424,1590,,,,,
0.1815,2.1380715370178223,3.218540339923861e-05,0.4266666666666667,1600,,,,,
0.2251,4.735975742340088,3.1978302904130446e-05,0.42933333333333334,1610,,,,,
0.1813,2.867415189743042,3.17706817417743e-05,0.432,1620,,,,,
0.195,2.4658877849578857,3.156255540326318e-05,0.43466666666666665,1630,,,,,
0.1431,2.033292770385742,3.1353939417382415e-05,0.43733333333333335,1640,,,,,
0.2492,1.6166270971298218,3.114484934945108e-05,0.44,1650,,,,,
0.2032,2.06489896774292,3.0935300800160606e-05,0.44266666666666665,1660,,,,,
0.1508,1.718098521232605,3.072530940441074e-05,0.44533333333333336,1670,,,,,
0.2,3.5096657276153564,3.0514890830143074e-05,0.448,1680,,,,,
0.2359,6.293458461761475,3.0304060777171934e-05,0.45066666666666666,1690,,,,,
0.1791,1.5359320640563965,3.0092834976013023e-05,0.4533333333333333,1700,,,,,
0.1424,2.279284715652466,2.9881229186709752e-05,0.456,1710,,,,,
0.2579,3.835350751876831,2.9669259197657288e-05,0.45866666666666667,1720,,,,,
0.242,6.095943927764893,2.9456940824424623e-05,0.4613333333333333,1730,,,,,
0.1975,1.5952534675598145,2.924428990857444e-05,0.464,1740,,,,,
0.1423,2.445863962173462,2.9031322316481248e-05,0.4666666666666667,1750,,,,,
0.1749,2.0463058948516846,2.881805393814746e-05,0.4693333333333333,1760,,,,,
0.2147,5.476147651672363,2.8604500686017866e-05,0.472,1770,,,,,
0.2063,2.8860933780670166,2.8390678493792326e-05,0.4746666666666667,1780,,,,,
0.1946,2.8484086990356445,2.817660331523696e-05,0.47733333333333333,1790,,,,,
0.2062,2.24835467338562,2.7962291122993772e-05,0.48,1800,,,,,
0.1962,2.4578962326049805,2.7747757907388894e-05,0.4826666666666667,1810,,,,,
0.1546,2.606590509414673,2.7533019675239542e-05,0.48533333333333334,1820,,,,,
0.1323,3.212963581085205,2.7318092448659654e-05,0.488,1830,,,,,
0.2067,1.9488729238510132,2.7102992263864525e-05,0.49066666666666664,1840,,,,,
0.2467,6.356498718261719,2.688773516997421e-05,0.49333333333333335,1850,,,,,
0.1707,1.8973444700241089,2.6672337227816145e-05,0.496,1860,,,,,
0.1831,5.8079752922058105,2.6456814508726784e-05,0.49866666666666665,1870,,,,,
0.138,1.4351757764816284,2.6241183093352445e-05,0.5013333333333333,1880,,,,,
0.1722,5.272558689117432,2.6025459070449554e-05,0.504,1890,,,,,
0.1703,2.056819438934326,2.5809658535684185e-05,0.5066666666666667,1900,,,,,
0.1532,4.356655120849609,2.5593797590431147e-05,0.5093333333333333,1910,,,,,
0.2406,2.693133592605591,2.53778923405726e-05,0.512,1920,,,,,
0.148,2.458397150039673,2.516195889529638e-05,0.5146666666666667,1930,,,,,
0.1949,1.5020431280136108,2.4946013365894052e-05,0.5173333333333333,1940,,,,,
0.2396,5.172431945800781,2.4730071864558814e-05,0.52,1950,,,,,
0.2035,1.364384412765503,2.4514150503183293e-05,0.5226666666666666,1960,,,,,
0.1541,5.0713348388671875,2.4298265392157456e-05,0.5253333333333333,1970,,,,,
0.1629,2.3766372203826904,2.4082432639166528e-05,0.528,1980,,,,,
0.1969,1.923179030418396,2.3866668347989194e-05,0.5306666666666666,1990,,,,,
0.1726,2.7594306468963623,2.365098861729603e-05,0.5333333333333333,2000,,,,,
0.1433,2.120952606201172,2.3435409539448376e-05,0.536,2010,,,,,
0.2357,1.7585570812225342,2.3219947199297633e-05,0.5386666666666666,2020,,,,,
0.1731,2.7473838329315186,2.3004617672985108e-05,0.5413333333333333,2030,,,,,
0.1519,4.191634178161621,2.2789437026742585e-05,0.544,2040,,,,,
0.1394,3.174936294555664,2.257442131569356e-05,0.5466666666666666,2050,,,,,
0.1806,3.0754528045654297,2.235958658265534e-05,0.5493333333333333,2060,,,,,
0.198,1.4997161626815796,2.214494885694202e-05,0.552,2070,,,,,
0.1944,1.1717889308929443,2.1930524153168546e-05,0.5546666666666666,2080,,,,,
0.1685,1.1830520629882812,2.1716328470055812e-05,0.5573333333333333,2090,,,,,
0.1709,3.217094659805298,2.1502377789236938e-05,0.56,2100,,,,,
0.1922,1.598813533782959,2.1288688074064865e-05,0.5626666666666666,2110,,,,,
0.1492,1.7293715476989746,2.107527526842128e-05,0.5653333333333334,2120,,,,,
0.1921,4.677055835723877,2.0862155295527043e-05,0.568,2130,,,,,
0.1941,4.637820720672607,2.0649344056754032e-05,0.5706666666666667,2140,,,,,
0.2006,4.296254634857178,2.0436857430438806e-05,0.5733333333333334,2150,,,,,
0.2221,2.5464653968811035,2.022471127069784e-05,0.576,2160,,,,,
0.148,1.6140700578689575,2.0012921406244574e-05,0.5786666666666667,2170,,,,,
0.1414,2.355199098587036,1.9801503639208486e-05,0.5813333333333334,2180,,,,,
0.1539,1.6602282524108887,1.9590473743955978e-05,0.584,2190,,,,,
0.1875,4.767785549163818,1.9379847465913463e-05,0.5866666666666667,2200,,,,,
0.2156,5.280542373657227,1.9169640520392526e-05,0.5893333333333334,2210,,,,,
0.1725,4.388632774353027,1.89598685914174e-05,0.592,2220,,,,,
0.2087,6.194578647613525,1.875054733055473e-05,0.5946666666666667,2230,,,,,
0.1597,4.778921127319336,1.8541692355745785e-05,0.5973333333333334,2240,,,,,
0.1536,4.453799724578857,1.8333319250141123e-05,0.6,2250,,,,,
0.153,5.8198747634887695,1.8125443560937966e-05,0.6026666666666667,2260,,,,,
0.1844,1.7466353178024292,1.791808079822016e-05,0.6053333333333333,2270,,,,,
0.2127,1.7659653425216675,1.771124643380087e-05,0.608,2280,,,,,
0.1725,3.3058362007141113,1.750495590006831e-05,0.6106666666666667,2290,,,,,
0.1638,2.707913398742676,1.7299224588834202e-05,0.6133333333333333,2300,,,,,
